"AGNO";"MRUN";"NOM_COM_ALU";"COD_GRADO";"LET_CUR";"COD_JOR";"GEN_ALU";"FEC_NAC_ALU";"EDAD_ALU";"PROM_GRAL";"ASISTENCIA"
2020;1161834;"RENCA";2;"A";1;1;200307;16;6;85
2020;1172838;"EL BOSQUE";2;"A";1;1;200411;15;69;85
2020;2158123;"LA CISTERNA";2;"A";1;1;200412;15;69;85
2020;2320554;"ESTACIÓN CENTRAL";2;"A";1;1;200406;16;67;85
2020;3074752;"LO PRADO";2;"A";1;1;200501;15;64;85
2020;3408649;"LA FLORIDA";2;"A";1;1;200503;15;65;85
2020;3679288;"INDEPENDENCIA";2;"A";1;1;200412;15;69;85
2020;5058868;"PEDRO AGUIRRE CERDA";2;"A";1;1;200404;16;68;85
2020;5744897;"SANTIAGO";2;"A";1;1;200410;15;69;85
2020;5816835;"SANTIAGO";2;"A";1;1;200502;15;62;85
2020;7051701;"SANTIAGO";2;"A";1;1;200506;15;7;85
2020;7176788;"SANTIAGO";2;"A";1;1;200407;15;7;85
2020;10656811;"MAIPÚ";2;"A";1;1;200503;15;69;85
2020;11031363;"MAIPÚ";2;"A";1;1;200403;16;6;85
2020;11624392;"PUDAHUEL";2;"A";1;1;200404;16;63;85
2020;12393628;"SANTIAGO";2;"A";1;1;200410;15;66;85
2020;12859224;"LAMPA";2;"A";1;1;200406;16;67;85
2020;13344950;"MAIPÚ";2;"A";1;1;200407;15;68;85
2020;14321268;"RENCA";2;"A";1;1;200503;15;67;85
2020;14406393;"MAIPÚ";2;"A";1;1;200501;15;61;85
2020;16223900;"PUDAHUEL";2;"A";1;1;200406;16;69;85
2020;16528303;"ESTACIÓN CENTRAL";2;"A";1;1;200503;15;59;85
2020;16943659;"MAIPÚ";2;"A";1;1;200410;15;7;85
2020;17539390;"RENCA";2;"A";1;1;200502;15;7;85
2020;17698223;"COLINA";2;"A";1;1;200503;15;7;85
2020;17857484;"MACUL";2;"A";1;1;200502;15;7;85
2020;18647847;"PEDRO AGUIRRE CERDA";2;"A";1;1;200308;16;56;85
2020;18989488;"VITACURA";2;"A";1;1;200503;15;7;85
2020;19246598;"SANTIAGO";2;"A";1;1;200501;15;68;85
2020;20117204;"MAIPÚ";2;"A";1;1;200412;15;69;85
2020;20366245;"MAIPÚ";2;"A";1;1;200404;16;69;85
2020;20380207;"QUILICURA";2;"A";1;1;200502;15;65;85
2020;21413305;"VILLA ALEGRE";2;"A";1;1;200412;15;68;85
2020;22041859;"PEÑALOLÉN";2;"A";1;1;200407;15;66;85
2020;23565639;"TALAGANTE";2;"A";1;1;200409;15;68;85
2020;24214291;"SAN MIGUEL";2;"A";1;1;200503;15;68;85
2020;24318611;"RENCA";2;"A";1;1;200410;15;68;85
2020;161953;"LO ESPEJO";2;"B";1;1;200409;15;69;85
2020;284104;"LAMPA";2;"B";1;1;200404;16;69;85
2020;328220;"LA PINTANA";2;"B";1;1;200407;15;66;85
2020;371391;"PEÑALOLÉN";2;"B";1;1;200409;15;63;85
2020;474850;"PUENTE ALTO";2;"B";1;1;200503;15;7;85
2020;480871;"EL BOSQUE";2;"B";1;1;200502;15;7;85
2020;935746;"PUDAHUEL";2;"B";1;1;200411;15;65;85
2020;2273697;"PEDRO AGUIRRE CERDA";2;"B";1;1;200410;15;63;85
2020;2920052;"ESTACIÓN CENTRAL";2;"B";1;1;200407;15;66;85
