"AGNO";"MRUN";"NOM_COM_ALU";"COD_GRADO";"LET_CUR";"COD_JOR";"GEN_ALU";"FEC_NAC_ALU";"EDAD_ALU";"PROM_GRAL";"ASISTENCIA"
2022;7759848;"SANTIAGO";4;"C";3;1;200407;17;68;93
2022;9092703;"SANTIAGO";4;"C";3;1;200405;18;64;96
2022;12053636;"PEÑALOLÉN";4;"C";3;1;200411;17;62;97
2022;12105556;"SANTIAGO";4;"C";3;2;200407;17;64;97
2022;12182670;"CONCHALÍ";4;"C";3;2;200407;17;67;98
2022;12253626;"SANTIAGO";4;"C";3;1;200408;17;67;96
2022;12513692;"SANTIAGO";4;"C";3;2;200501;17;68;98
2022;12524423;"SANTIAGO";4;"C";3;2;200503;17;67;92
2022;13433117;"LOS ANDES";4;"C";3;2;200501;17;69;97
2022;13738035;"PUDAHUEL";4;"C";3;2;200411;17;7;99
2022;14761937;"SANTIAGO";4;"C";3;1;200402;18;68;98
2022;16835783;"SANTIAGO";4;"C";3;2;200407;17;61;98
2022;16845845;"PADRE HURTADO";4;"C";3;2;200501;17;7;98
2022;17421679;"SANTIAGO";4;"C";3;2;200501;17;67;96
2022;18153522;"SANTIAGO";4;"C";3;1;200307;18;61;88
2022;18349051;"SANTIAGO";4;"C";3;2;200405;18;67;94
2022;18776649;"BUIN";4;"C";3;1;200501;17;65;95
2022;19148220;"PUDAHUEL";4;"C";3;2;200502;17;67;97
2022;19320044;"SANTIAGO";4;"C";3;2;200408;17;66;94
2022;20488617;"CERRILLOS";4;"C";3;1;200503;17;63;95
2022;20647565;"SANTIAGO";4;"C";3;2;200404;18;7;95
2022;23370087;"MAIPÚ";4;"C";3;2;200401;18;61;92
2022;23465125;"HUECHURABA";4;"C";3;1;200408;17;64;95
2022;24513052;"SAN MIGUEL";4;"C";3;2;200406;18;69;97
2022;24762670;"SANTIAGO";4;"C";3;2;200501;17;65;98
2022;413570;"MAIPÚ";4;"D";3;2;200406;18;63;88
2022;1119288;"SANTIAGO";4;"D";3;2;200402;18;66;94
2022;3232264;"SANTIAGO";4;"D";3;2;200408;17;68;98
2022;3614718;"PUDAHUEL";4;"D";3;2;200407;17;65;94
2022;3890494;"SAN MIGUEL";4;"D";3;2;200408;17;61;96
2022;4670512;"LO PRADO";4;"D";3;2;200406;18;7;91
2022;5007329;"SANTIAGO";4;"D";3;1;200405;18;7;97
2022;5210670;"SANTIAGO";4;"D";3;1;200502;17;66;93
2022;5499244;"MAIPÚ";4;"D";3;2;200504;17;68;97
2022;6110873;"MAIPÚ";4;"D";3;2;200405;18;69;96
2022;6447406;"SANTIAGO";4;"D";3;1;200501;17;67;97
2022;6800294;"MAIPÚ";4;"D";3;1;200412;17;64;92
2022;6851980;"SANTIAGO";4;"D";3;2;200502;17;67;98
2022;10630000;"PUDAHUEL";4;"D";3;2;200412;17;61;90
2022;11794453;"SANTIAGO";4;"D";3;1;200412;17;62;99
2022;13058236;"TEMUCO";4;"D";3;2;200410;17;68;97
2022;13667834;"SANTIAGO";4;"D";3;2;200411;17;67;94
2022;13776744;"SANTIAGO";4;"D";3;1;200501;17;62;98
2022;14869040;"SANTIAGO";4;"D";3;1;200408;17;69;98
2022;15558609;"CERRILLOS";4;"D";3;2;200411;17;66;89
2022;15638013;"SANTIAGO";4;"D";3;2;200505;17;66;95
2022;16333474;"SANTIAGO";4;"D";3;1;200410;17;68;96
2022;16334050;"SANTIAGO";4;"D";3;1;200409;17;65;96
2022;17869489;"QUILICURA";4;"D";3;2;200411;17;67;98
2022;18327721;"SANTIAGO";4;"D";3;1;200408;17;65;93
2022;18444519;"SANTIAGO";4;"D";3;2;200408;17;61;91
2022;20433052;"SANTIAGO";4;"D";3;2;200410;17;66;98
2022;21531963;"SANTIAGO";4;"D";3;2;200502;17;68;96
