"AGNO";"MRUN";"NOM_COM_ALU";"COD_GRADO";"LET_CUR";"COD_JOR";"GEN_ALU";"FEC_NAC_ALU";"EDAD_ALU";"PROM_GRAL";"ASISTENCIA"
2021;215445;"LO PRADO";3;"A";1;1;200411;16;68;85
2021;329959;"PUDAHUEL";3;"A";1;1;200405;17;65;85
2021;1106465;"PUENTE ALTO";3;"A";1;1;200408;16;68;85
2021;1184557;"RENCA";3;"A";1;1;200407;16;67;85
2021;1325138;"CONCHALÍ";3;"A";1;1;200504;16;61;85
2021;1733664;"PUENTE ALTO";3;"A";1;1;200502;16;59;85
2021;2204002;"SANTIAGO";3;"A";1;1;200407;16;6;85
2021;3157831;"RECOLETA";3;"A";1;1;200406;17;59;85
2021;3587122;"PUDAHUEL";3;"A";1;1;200501;16;64;85
2021;4934883;"COYHAIQUE";3;"A";1;1;200405;17;67;85
2021;5741134;"CONCHALÍ";3;"A";1;1;200408;16;64;85
2021;6076879;"PEDRO AGUIRRE CERDA";3;"A";1;1;200407;16;65;85
2021;7149646;"SANTIAGO";3;"A";1;1;200504;16;68;85
2021;9570360;"QUILICURA";3;"A";1;1;200502;16;66;85
2021;10571324;"PEDRO AGUIRRE CERDA";3;"A";1;1;200503;16;63;85
2021;13521230;"LAMPA";3;"A";1;1;200407;16;53;85
2021;14339399;"INDEPENDENCIA";3;"A";1;1;200411;16;3;85
2021;14823033;"PROVIDENCIA";3;"A";1;1;200502;16;53;85
2021;14894763;"PUDAHUEL";3;"A";1;1;200410;16;67;85
2021;15237512;"ESTACIÓN CENTRAL";3;"A";1;1;200504;16;66;85
2021;15324426;"EL BOSQUE";3;"A";1;1;200409;16;6;85
2021;15478848;"LA CISTERNA";3;"A";1;1;200504;16;22;85
2021;15546677;"LA CISTERNA";3;"A";1;1;200407;16;69;85
2021;16755179;"SANTIAGO";3;"A";1;1;200501;16;67;85
2021;18842535;"TALCA";3;"A";1;1;200410;16;66;85
2021;19412400;"CERRO NAVIA";3;"A";1;1;200505;16;62;85
2021;19918328;"SANTIAGO";3;"A";1;1;200407;16;66;85
2021;20170997;"PUDAHUEL";3;"A";1;1;200402;17;57;85
2021;20426938;"SAN RAMÓN";3;"A";1;1;200410;16;67;85
2021;21502050;"CERRO NAVIA";3;"A";1;1;200407;16;68;85
2021;22928303;"SAN JOAQUÍN";3;"A";1;1;200503;16;64;85
2021;23031149;"LA FLORIDA";3;"A";1;1;200309;17;6;85
2021;23650779;"ÑUÑOA";3;"A";1;1;200504;16;67;85
2021;23730602;"RECOLETA";3;"A";1;1;200503;16;68;85
2021;26289990;"SANTIAGO";3;"A";1;1;200404;17;52;85
2021;284104;"LAMPA";3;"B";1;1;200404;17;69;85
2021;328220;"LA PINTANA";3;"B";1;1;200407;16;65;85
2021;681000;"SANTIAGO";3;"B";1;1;200411;16;66;85
2021;711530;"PEÑAFLOR";3;"B";1;1;200406;17;69;85
2021;1278514;"PUDAHUEL";3;"B";1;1;200405;17;66;85
2021;1970116;"PEÑAFLOR";3;"B";1;1;200410;16;69;85
2021;2273697;"PEDRO AGUIRRE CERDA";3;"B";1;1;200410;16;59;85
2021;2318528;"MAIPÚ";3;"B";1;1;200505;16;64;85
2021;5361492;"LA FLORIDA";3;"B";1;1;200502;16;52;85
2021;6388668;"SANTIAGO";3;"B";1;1;200503;16;65;85
2021;6909772;"SANTIAGO";3;"B";1;1;200502;16;65;85
2021;8909829;"PUDAHUEL";3;"B";1;1;200506;16;53;85
2021;9153003;"MACUL";3;"B";1;1;200406;17;66;85
2021;11177505;"QUILICURA";3;"B";1;1;200504;16;67;85
2021;11292550;"MAIPÚ";3;"B";1;1;200411;16;63;85
2021;11575193;"QUILICURA";3;"B";1;1;200310;17;63;85
2021;11577847;"SANTA CRUZ";3;"B";1;1;200502;16;65;85
2021;11984742;"SAN MIGUEL";3;"B";1;1;200406;17;65;85
2021;12004440;"ESTACIÓN CENTRAL";3;"B";1;1;200406;17;59;85
2021;12501824;"PUENTE ALTO";3;"B";1;1;200410;16;69;85
2021;12782198;"PROVIDENCIA";3;"B";1;1;200412;16;66;85
2021;13340511;"EL BOSQUE";3;"B";1;1;200408;16;65;85
2021;14038377;"RENCA";3;"B";1;1;200406;17;65;85
2021;14159056;"CERRILLOS";3;"B";1;1;200410;16;51;85
2021;14932942;"ÑUÑOA";3;"B";1;1;200404;17;58;85
2021;16186596;"LO PRADO";3;"B";1;1;200409;16;66;85
2021;18147762;"QUILICURA";3;"B";1;1;200407;16;68;85
2021;18843651;"QUILICURA";3;"B";1;1;200412;16;69;85
2021;19363971;"SANTIAGO";3;"B";1;1;200409;16;63;85
2021;19504756;"CONCHALÍ";3;"B";1;1;200406;17;66;85
2021;20543007;"ESTACIÓN CENTRAL";3;"B";1;1;200412;16;66;85
2021;20545226;"CONCHALÍ";3;"B";1;1;200412;16;69;85
2021;20908047;"QUILICURA";3;"B";1;1;200412;16;7;85
2021;21454934;"LAMPA";3;"B";1;1;200409;16;58;85
2021;21760014;"CONCHALÍ";3;"B";1;1;200412;16;68;85
2021;21833236;"LA FLORIDA";3;"B";1;1;200504;16;68;85
2021;21938600;"QUILICURA";3;"B";1;1;200405;17;67;85
2021;22989173;"LAMPA";3;"B";1;1;200505;16;7;85
2021;23871406;"EL BOSQUE";3;"B";1;1;200501;16;68;85
2021;371391;"PEÑALOLÉN";3;"C";1;1;200409;16;66;85
2021;1991480;"RENCA";3;"C";1;1;200405;17;66;85
2021;2280148;"QUILICURA";3;"C";1;1;200502;16;68;85
2021;2320554;"ESTACIÓN CENTRAL";3;"C";1;1;200406;17;65;85
2021;2705798;"LAMPA";3;"C";1;1;200412;16;69;85
2021;3452381;"PEÑALOLÉN";3;"C";1;1;200505;16;68;85
2021;3797421;"SANTIAGO";3;"C";1;1;200410;16;68;85
2021;4895653;"LA FLORIDA";3;"C";1;1;200503;16;69;85
2021;4982414;"PEÑALOLÉN";3;"C";1;1;200310;17;61;85
2021;5058868;"PEDRO AGUIRRE CERDA";3;"C";1;1;200404;17;67;85
2021;6046829;"SANTIAGO";3;"C";1;1;200406;17;67;85
2021;6560556;"HUECHURABA";3;"C";1;1;200404;17;63;85
2021;7572481;"INDEPENDENCIA";3;"C";1;1;200311;17;26;85
2021;8281676;"RECOLETA";3;"C";1;1;200409;16;63;85
2021;9162624;"QUILICURA";3;"C";1;1;200502;16;69;85
2021;9287624;"CONCHALÍ";3;"C";1;1;200407;16;65;85
2021;11802381;"QUILICURA";3;"C";1;1;200408;16;69;85
2021;11811465;"RECOLETA";3;"C";1;1;200503;16;67;85
2021;12171835;"SANTIAGO";3;"C";1;1;200308;17;67;85
